id_number	mz	rtime	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F6690	463.1311	141.99	13366373	19658188	23587032	25830594	31625089	35433740
F5431	413.2319	148.57	17810311	18637436	19649575	18451321	17876795	16212616
F8773	640.3167	148.57	363261400	508507666	358225479	536278857	528068748	497012915
F9513	792.5933	154.79	10283765	7665067	7995231	10404920	9488819	6358023
F4334	441.1334	423.92	63862344	78583471	83464506	7568577	8958139	9074244
F9493	784.5766	158.76	5250806	5526101	4791143	9533887	10195447	8791400
F10658	681.3426	147.7	10608775	11116677	11699485	14562470	14278874	12800321
F11084	618.4693	130.38	30037646	0	29771591	33292327	34153247	32255315
F2894	174.8865	796.3	20214684	30125038	49902650	1414	18042	75297
F4454	481.157	141.99	3068223	5104167	5512785	7550210	8844497	10341880
F5262	448.3632	146.83	15127019	15782146	15565822	14121328	15250909	13876530
F11931	259.1132	781.02	41114391	47353547	46319344	0	0	0
F7431	470.3323	160.81	56348249	57520227	55592836	57021232	55217420	56250414
F3147	248.0219	822.18	0	6386	0	18912136	19447089	15718345
F6749	375.3215	146.83	20921744	22424220	25702811	54692704	56479657	55474964
F11489	568.4046	147.7	9645407	6785121	5887378	10505514	10360365	5969102
F8631	530.3891	159.79	18163090	19651502	18250099	19381002	18977558	17948883
F6817	464.3004	147.7	27003619	27405907	26448820	24197598	24767605	23945050
F3218	303.1439	151.18	120107098	127449561	124715154	142365338	140461643	132172303
F6898	377.2633	146.83	12303571	11589589	12359296	15573113	14466004	11379661
F6687	462.855	152.96	10252537	11378486	9593735	11961858	9983638	10400031
F9117	590.4628	148.57	11639502	10292243	11098875	13429633	11804517	10775598
F2634	336.326	150.31	3066326	2938522	3517880	27321862	28545993	25609933
F1250	279.2512	153.86	46898583	49592906	52044236	23258174	22733153	21816164
F7486	471.2627	166.85	18991954	18819668	18175075	20232141	19445963	18981380
F8315	632.4884	129.37	10931866	11512250	11446783	13066867	13123190	13011705
F9542	656.4563	151.18	15437388	16697458	14263588	21682540	22165651	21776793
F6761	424.2903	149.44	58379010	63929337	65800032	66189665	66755889	66178860
F9499	788.5713	152.07	15743990	14973087	13042006	17795461	17766760	16582708
F12561	561.5349	147.7	30977517	29006542	33075976	0	0	0
F9169	536.4317	140.93	10485890	11386124	11485126	11860055	11797519	11671198
F11406	566.4526	148.57	17070814	21249751	17400077	19424161	19281797	15647843
F3225	250.1369	168.67	33098751	34434153	34048554	35642702	35956399	36836369
F5010	446.3475	146.83	9412535	15643510	14462847	14581360	15004271	14541429
F11256	415.2476	148.57	25059452	25664115	24721183	25628720	26224838	25383237
F10198	668.4932	155.75	11040672	10063751	8574069	13136058	12198992	13479158
F1087	145.0784	819.88	0	0	0	12398849	12187161	10468221
F10022	602.4105	166.85	8736321	9412376	9139944	9797118	9488806	9633300
F7810	434.3119	146.83	12483487	11783042	13274497	20633183	19542334	21455433
F6360	420.3685	145.04	8141575	6645955	6873589	6658466	6502328	7058616
F5841	454.4258	139.87	12585565	12478344	12525663	11722810	12272208	11594088
F9753	543.3568	167.76	11128096	11017188	10717413	15561298	14864944	13793432
F5477	413.3299	166.85	6777618	6809537	7356666	8213669	7390261	8515936
F810	272.3172	157.74	0	0	0	15083668	13261013	12656690
F1906	288.1523	167.76	5863858	5625555	5538753	6486351	6066144	6484472
F11227	698.3581	156.73	16630186	16589325	16603001	17910623	16765106	18023125
F7224	381.2418	146.83	10094922	10214050	8570912	9771183	9838356	9529912
F10236	605.3513	145.95	18191609	16375341	14787103	19001389	18658209	14414817
F11088	692.491	156.73	9160139	9686542	10290090	13312078	13554328	14026156
F6848	425.2937	149.44	10684763	13029511	10487126	9903988	11581419	13223927
F7667	433.2773	148.57	9415594	10210848	9478836	9930500	9961751	9576759
F4310	400.2904	171.5	48092188	48255778	48960964	51888196	50848064	51469802
F11779	572.3217	145.04	8692271	14915823	13743154	9776960	12803686	13199812
F6628	462.2849	147.7	29672354	33100197	31032867	27558325	28488608	26895987
F1165	212.0757	419.6	53620843	54559424	54686142	13441034	13836847	14101494
F171	310.2305	168.67	45322677	44661030	43754265	48314807	48399272	47265236
F9914	848.6288	154.79	61679236	62363193	64494255	67920666	69131453	68126672
F8539	636.5024	152.07	9939870	10898535	13074033	11014873	13011934	15132065
F432	268.1329	426.07	1053209239	1096586921	1159892659	385302245	398552377	410804234
F11121	694.3268	146.83	16140128	15205911	16319096	15352905	15092710	15769010
F6144	500.3437	164.92	15333185	16210141	15059633	14814074	14466925	15082252
F10384	606.3643	145.95	20519994	20391729	20978034	20713466	20349875	20282722
F5732	415.3417	145.95	0	10778595	11579117	9590732	9971245	5497985
